Newbie,Motorcycle,Puncture,637263,TN2332,2024-05-27,on
Newbie,Bicycle,Tire Alignment,121212,323dds,2024-05-28,on
Navadeep,Motorcycle,Engine Oil Replacement,1,2,2024-05-21,on
update,Car,"Transmission, Engine Maintenance, Fuel Injector, Drivetrain",,,2024-05-10,off
update,Car,Tire Checkup,,,,off
update,Car,"Tire Checkup, Brake Checkup, Fuel Injector",,,,off
update,Bicycle,"Tire Puncture, Wheel Checkup, Tube Replacement",,,,on
update,Bicycle,Suspension,,,2024-05-15,off
Navadeep1,Car,Fuel Injector,759834545,TN8439489,2024-05-06,off
Navadeep1,Bicycle,"Frame, Headset Adjustment, Wheel Checkup, Lubrication, Suspension",9890890,TN9834894839,2024-05-03,off
Navadeep1,Empty,Empty,,,,on
